"Length","Catch_1","Catch_2","Catch_3","Catch_4","Catch_5"
0.5,0,0,0,0,0
1.5,0,0,0,0,0
2.5,0,0,0,0,0
3.5,0,0,0,0,0
4.5,0,0,0,0,0
5.5,0,0,0,0,0
6.5,0,0,0,0,0
7.5,0,0,0,0,0
8.5,0,0,0,0,0
9.5,0,0,0,0,0
10.5,0,0,0,0,0
11.5,0,0,0,0,0
12.5,0,0,0,0,0
13.5,0,0,0,0,0
14.5,0,0,0,0,0
15.5,0,0,0,0,0
16.5,0,0,0,0,0
17.5,0,0,0,0,0
18.5,0,0,0,0,0
19.5,0,0,0,0,0
20.5,0,0,0,0,0
21.5,0,0,0,0,0
22.5,0,0,0,0,0
23.5,0,0,0,0,0
24.5,0,0,0,0,0
25.5,0,0,0,0,0
26.5,0,0,0,0,0
27.5,0,0,0,0,0
28.5,0,0,0,0,0
29.5,0,0,0,0,0
30.5,0,0,0,0,0
31.5,0,0,0,0,0
32.5,0,0,0,0,0
33.5,0,0,0,0,0
34.5,0,0,0,0,0
35.5,0,0,0,0,0
36.5,0,0,0,0,0
37.5,0,0,0,0,0
38.5,0,0,0,0,0
39.5,0,0,0,0,0
40.5,0,0,0,0,0
41.5,0,0,0,0,0
42.5,0,0,0,0,0
43.5,0,0,0,0,0
44.5,0,0,0,0,0
45.5,0,0,0,0,0
46.5,0,0,0,0,0
47.5,0,0,0,0,0
48.5,0,0,0,0,0
49.5,1,1,0,0,0
50.5,0,2,1,0,2
51.5,1,4,2,7,2
52.5,4,2,3,0,2
53.5,2,3,7,3,3
54.5,6,5,6,9,3
55.5,6,3,8,9,12
56.5,8,9,12,10,18
57.5,19,20,10,18,16
58.5,26,17,18,25,18
59.5,24,22,24,22,39
60.5,33,30,28,29,25
61.5,40,31,32,38,34
62.5,25,42,36,28,31
63.5,30,43,40,36,39
64.5,49,41,41,35,34
65.5,44,38,44,39,38
66.5,40,38,36,32,40
67.5,26,37,40,31,30
68.5,26,27,28,30,32
69.5,24,24,28,21,25
70.5,17,14,16,18,18
71.5,11,13,12,22,9
72.5,10,9,8,11,7
73.5,11,9,6,8,12
74.5,6,4,2,9,4
75.5,5,6,5,2,3
76.5,1,3,4,1,1
77.5,2,2,0,3,1
78.5,3,1,0,2,0
79.5,0,0,1,1,0
80.5,0,0,2,0,1
81.5,0,0,0,0,1
82.5,0,0,0,1,0
83.5,0,0,0,0,0
84.5,0,0,0,0,0
85.5,0,0,0,0,0
86.5,0,0,0,0,0
87.5,0,0,0,0,0
88.5,0,0,0,0,0
89.5,0,0,0,0,0
90.5,0,0,0,0,0
91.5,0,0,0,0,0
92.5,0,0,0,0,0
93.5,0,0,0,0,0
94.5,0,0,0,0,0
95.5,0,0,0,0,0
96.5,0,0,0,0,0
97.5,0,0,0,0,0
98.5,0,0,0,0,0
99.5,0,0,0,0,0
100.5,0,0,0,0,0
101.5,0,0,0,0,0
102.5,0,0,0,0,0
103.5,0,0,0,0,0
104.5,0,0,0,0,0
105.5,0,0,0,0,0
106.5,0,0,0,0,0
107.5,0,0,0,0,0
108.5,0,0,0,0,0
109.5,0,0,0,0,0
110.5,0,0,0,0,0
111.5,0,0,0,0,0
112.5,0,0,0,0,0
113.5,0,0,0,0,0
114.5,0,0,0,0,0
115.5,0,0,0,0,0
116.5,0,0,0,0,0
117.5,0,0,0,0,0
118.5,0,0,0,0,0
119.5,0,0,0,0,0
120.5,0,0,0,0,0
121.5,0,0,0,0,0
122.5,0,0,0,0,0
123.5,0,0,0,0,0
124.5,0,0,0,0,0
125.5,0,0,0,0,0
126.5,0,0,0,0,0
127.5,0,0,0,0,0
128.5,0,0,0,0,0
129.5,0,0,0,0,0
130.5,0,0,0,0,0
131.5,0,0,0,0,0
132.5,0,0,0,0,0
133.5,0,0,0,0,0
134.5,0,0,0,0,0
135.5,0,0,0,0,0
136.5,0,0,0,0,0
137.5,0,0,0,0,0
138.5,0,0,0,0,0
139.5,0,0,0,0,0
140.5,0,0,0,0,0
141.5,0,0,0,0,0
142.5,0,0,0,0,0
143.5,0,0,0,0,0
